prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
3535,Flat,Sindh,Karachi,"Sea View Apartments, Karachi, Sindh",4,3,256 Sq. Yd.,For Sale,6/29/2023,PKR5.75 Crore
3536,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,4,250 Sq. Yd.,For Sale,6/28/2023,PKR5.5 Crore
3537,Flat,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",4,4,267 Sq. Yd.,For Sale,7/11/2023,PKR3 Crore
3538,Lower Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",4,4,256 Sq. Yd.,For Sale,6/27/2023,PKR2.5 Crore
3539,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",4,4,80 Sq. Yd.,For Sale,7/11/2023,PKR78 Lakh
3540,House,Sindh,Karachi,"Naya Nazimabad, Karachi, Sindh",-,-,160 Sq. Yd.,For Sale,6/27/2023,PKR3.3 Crore
3541,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",3,4,80 Sq. Yd.,For Sale,7/4/2023,PKR65 Lakh
3542,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,666 Sq. Yd.,For Sale,7/11/2023,PKR18 Crore
3543,Flat,Sindh,Karachi,"Nazimabad, Karachi, Sindh",3,3,133 Sq. Yd.,For Sale,6/29/2023,PKR1.2 Crore
3544,Flat,Sindh,Karachi,"Federal B Area, Karachi, Sindh",2,2,72 Sq. Yd.,For Sale,7/2/2023,PKR70 Lakh
3545,House,Sindh,Karachi,"Cantt, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,7/11/2023,PKR8.5 Crore
3546,Flat,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",2,2,83 Sq. Yd.,For Sale,7/11/2023,PKR82 Lakh
3547,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,111 Sq. Yd.,For Sale,7/4/2023,PKR75 Lakh
3548,House,Sindh,Karachi,"Javed Bahria Coopretive Housing Society, Karachi, Sindh",6,4,400 Sq. Yd.,For Sale,7/4/2023,PKR3.75 Crore
3549,Flat,Sindh,Karachi,"Clifton, Karachi, Sindh",3,3,289 Sq. Yd.,For Sale,7/4/2023,PKR5 Crore
3550,House,Sindh,Karachi,"Gadap Town, Karachi, Sindh",2,2,120 Sq. Yd.,For Sale,7/2/2023,PKR1.15 Crore
3551,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",2,2,117 Sq. Yd.,For Sale,6/27/2023,PKR1 Crore
3552,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",2,2,89 Sq. Yd.,For Sale,6/27/2023,PKR80 Lakh
3553,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",2,2,128 Sq. Yd.,For Sale,6/27/2023,PKR98 Lakh
3554,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",7,7,100 Sq. Yd.,For Sale,7/11/2023,PKR1.9 Crore
3555,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,168 Sq. Yd.,For Sale,7/11/2023,PKR1.89 Crore
